"fio/4k-seq-write-bandwidth";"fio/4k-seq-write-latency";"fio/8k-rand-read-iops";"fio/8k-rand-read-latency";"iperf/multi-thread-bandwidth";"iperf/single-thread-bandwidth";"md-sim-duration";"stressng/cpu-callfunc-bogo-ops";"stressng/cpu-double-bogo-ops";"stressng/cpu-euler-bogo-ops";"stressng/cpu-fft-bogo-ops";"stressng/cpu-fibonacci-bogo-ops";"stressng/cpu-int64-bogo-ops";"stressng/cpu-loop-bogo-ops";"stressng/cpu-matrixprod-bogo-ops";"stressng/network-epoll-bogo-ops";"stressng/network-icmp-flood-bogo-ops";"stressng/network-sockfd-bogo-ops";"stressng/network-udp-bogo-ops";"sysbench/cpu-multi-thread-duration";"sysbench/cpu-single-thread-duration";"sysbench/fileio-1m-seq-write-latency";"sysbench/fileio-1m-seq-write-throughput";"sysbench/fileio-4k-rand-read-latency";"sysbench/fileio-4k-rand-read-throughput";"sysbench/fileio-4k-rand-write-latency";"sysbench/fileio-4k-rand-write-throughput";"sysbench/memory-default-block-size-throughput";"sysbench/memory-large-block-size-throughput";"sysbench/mutex-latency";"sysbench/threads-128-latency";"sysbench/threads-1-latency";"wordpress-bench/s1-response_time";"wordpress-bench/s1-throughput";"wordpress-bench/s2-response_time";"wordpress-bench/s2-throughput";"wordpress-bench/s3-response_time";"wordpress-bench/s3-throughput";"vcpus";"ecu";"role";"provider_vm_id_iteration";"provider_vm_id";"iteration";"source";"instance.type";"region"
5122.8;706.23;9917.0;95.4;228.0;311.0;840.608082;97475.12;2907.61;1920428.0;120.27;2826938.81;17587.15;7600.66;55.37;7310.48;60694.53;6.56;17439.91;96.8605;96.2373;26.11;35.889;0.24;16.033;0.02;1.1263;122.03;2768.27;7278.73;1007.38;3.09;2628.5052220200796;0.38044436496552675;3276.0058051489145;0.30524976434055606;3859.3577586206898;0.2591104692915004;1.0;1.0;"training";"i-04544189819b35dee_1.0";"i-04544189819b35dee";1.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu"
5675.1;700.62;9189.0;103.39;260.0;313.0;841.088964;96671.71;2938.92;1918107.0;121.39;2816179.6;17613.96;7586.28;58.19;7348.36;61516.4;6.69;18349.19;96.5542;96.3003;25.66;36.278;0.23;16.605;0.02;1.1253;119.5;2760.24;7232.19;989.41;3.11;2663.3925529807884;0.37546098823503515;3293.109738012852;0.3036643414754304;3354.5058595396677;0.2981064996968668;1.0;1.0;"training";"i-04544189819b35dee_2.0";"i-04544189819b35dee";2.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu"
5587.8;711.84;13241.0;70.24;281.0;314.0;842.945374;96948.33;2907.01;1913881.13;119.58;2821483.25;17356.63;7588.28;59.07;7128.12;60058.06;6.32;16701.24;96.1089;96.1107;25.65;36.281;0.26;14.956;0.02;1.1492;120.23;2725.38;7227.49;1016.15;3.13;2588.8918211120063;0.3862656569290215;3225.8900266400265;0.30999196864797174;2587.20763179178;0.38651710350260776;1.0;1.0;"training";"i-04544189819b35dee_3.0";"i-04544189819b35dee";3.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu"
5328.9;742.88;13329.0;68.81;912.0;930.0;51.820563;204445.33;6382.46;5082597.16;266.47;8320340.89;35726.56;15361.79;113.63;30515.66;117432.41;16.7;115565.68;5.8776;46.9406;7.76;118.17;0.34;11.595;0.02;2.0946;228.71;5793.99;3689.24;855.37;1.65;47.27018687152044;21.154983006899954;58.3239920227277;17.145602784019307;831.9023607686852;1.2020641449748877;8.0;20.0;"training";"i-0b79847edad1c1fd5_1.0";"i-0b79847edad1c1fd5";1.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu"
5344.3;740.52;13386.0;68.44;907.0;881.0;49.430463;206475.98;6408.71;5090714.49;265.61;8339867.38;35968.56;15291.56;114.76;28270.3;120096.77;16.23;91913.45;5.8934;47.0275;7.75;118.29;0.38;10.34;0.02;2.167;229.09;5774.59;3676.57;826.74;1.65;24.401430665724234;40.98120367199052;28.781014582901374;34.74512676123982;1957.7912821758134;0.5107796776419592;8.0;20.0;"training";"i-0b79847edad1c1fd5_2.0";"i-0b79847edad1c1fd5";2.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu"
5436.6;728.13;13406.0;68.47;915.0;862.0;49.08153;205646.44;6401.52;5092565.02;268.7;8373014.04;35937.35;15085.39;101.04;28250.04;121027.82;16.96;116048.59;5.8957;47.0051;7.75;118.28;0.46;8.4416;0.02;2.1738;228.46;5787.14;3728.22;835.87;1.67;23.807069316020723;42.00433017293146;27.026165629979953;37.00117929014342;1170.774302233684;0.8541355905165761;8.0;20.0;"training";"i-0b79847edad1c1fd5_3.0";"i-0b79847edad1c1fd5";3.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu"
5661.7;703.66;18029.0;54.16;671.0;676.0;162.319386;328999.83;10386.41;8214431.06;434.15;1.344788454E7;57802.22;24555.0;199.22;87124.6;335778.05;51.77;291597.11;16.86;29.2079;11.13;82.519;0.4;9.8353;0.01;1.9652;1507.97;9555.62;2209.86;74.39;0.26;415.33495569046124;2.407695250060472;575.1346999574407;1.7387231201212494;1894.1834616672247;0.5279319665898777;2.0;6.5;"test";"i-0611bc4f7fbc8637c_1.0";"i-0611bc4f7fbc8637c";1.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu"
5668.9;702.85;18029.0;54.13;670.0;676.0;162.684605;331048.62;10423.51;8221922.6;434.65;1.344475284E7;57793.75;24586.33;208.82;80265.67;326331.02;47.75;261665.92;16.8586;29.2002;9.62;94.264;0.4;9.7967;0.01;2.1153;1502.41;9558.53;2205.35;74.49;0.26;425.7121533298004;2.3490050546555508;578.4650904099215;1.7287127893774257;1211.3429428143072;0.8255300498772915;2.0;6.5;"test";"i-0611bc4f7fbc8637c_2.0";"i-0611bc4f7fbc8637c";2.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu"
5487.6;726.08;18029.0;54.18;671.0;676.0;162.373003;330487.38;10440.88;8217506.02;429.9;1.345652754E7;57838.16;24588.62;205.51;77819.5;328736.09;53.24;279406.22;16.8475;29.1992;11.13;82.532;0.49;7.9418;0.01;2.0823;1502.98;9556.08;2205.03;76.39;0.26;420.888238808068;2.3759276401544125;575.2451603786915;1.738389244929391;730.0246720074306;1.3698167176325533;2.0;6.5;"test";"i-0611bc4f7fbc8637c_3.0";"i-0611bc4f7fbc8637c";3.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu"
4954.5;681.55;17512.0;53.35;287.0;316.0;490.056886;163915.48;5107.19;4068371.71;213.99;6657626.11;28614.34;12296.73;89.27;10993.37;85627.3;9.0;27272.14;59.0831;59.1993;25.73;35.861;0.31;12.687;0.01;1.9304;155.71;4576.61;4469.69;753.57;2.59;1457.7566320645906;0.6859855602808822;1785.9820105820106;0.5599160540671533;3434.548918454159;0.29115904991974484;1.0;3.0;"test";"i-047d647100721ce1c_1.0";"i-047d647100721ce1c";1.0;"rmit-combined_v4_aws-eu_m3.medium-pv";"m3.medium (pv)";"eu"
5748.6;691.2;17674.0;52.8;287.0;316.0;487.269071;163906.69;5098.78;4061015.35;213.86;6646018.83;28583.64;12260.29;90.08;10253.24;84855.77;9.09;26668.76;59.0271;59.0458;25.72;35.86;0.31;12.607;0.01;1.9938;158.77;4603.68;4469.36;758.15;2.61;1454.6180306905371;0.6874656981429547;1805.798036758563;0.5537717838009262;2415.1119535834378;0.41405948014800875;1.0;3.0;"test";"i-047d647100721ce1c_2.0";"i-047d647100721ce1c";2.0;"rmit-combined_v4_aws-eu_m3.medium-pv";"m3.medium (pv)";"eu"
5913.4;671.9;17552.0;53.16;287.0;316.0;487.110673;163322.35;5088.84;4065681.5;212.29;6648286.91;28562.6;12242.24;89.86;10710.8;84460.25;8.75;26422.85;59.0665;59.0847;21.86;41.605;0.29;13.616;0.01;2.1081;158.76;4609.83;4453.75;754.66;2.6;1448.448294970162;0.6903939916064452;1796.5193749340092;0.5566319038650683;1835.8341647935968;0.5447115099922057;1.0;3.0;"test";"i-047d647100721ce1c_3.0";"i-047d647100721ce1c";3.0;"rmit-combined_v4_aws-eu_m3.medium-pv";"m3.medium (pv)";"eu"
6761.8;589.59;18026.0;54.44;430.0;468.0;165.249822;301725.71;10091.88;7691761.22;442.39;1.454423788E7;57952.77;20963.66;200.06;116141.24;382458.56;73.63;394933.89;16.7385;29.5861;17.14;53.608;0.23;17.087;0.01;2.4467;1458.14;8749.43;2354.68;76.72;0.27;351.30132275132274;2.846559165129801;485.59436959837313;2.059331949888717;1984.5688490214352;0.503887784237411;2.0;6.5;"test";"i-059b6631eadaf4fab_1.0";"i-059b6631eadaf4fab";1.0;"rmit-combined_v4_aws-eu_m4.large";"m4.large";"eu"
6770.5;588.85;18029.0;54.41;430.0;468.0;165.514542;302072.14;10098.15;7694876.74;441.89;1.450084893E7;57923.86;20938.18;190.45;120341.56;380880.53;70.3;421498.87;16.7428;29.5984;17.11;53.722;0.25;15.499;0.01;2.66;1452.14;8748.94;2355.11;76.74;0.26;359.69830232412454;2.780107644486181;488.71411518949566;2.0461860398942164;1219.4356350503053;0.8200514822241907;2.0;6.5;"test";"i-059b6631eadaf4fab_2.0";"i-059b6631eadaf4fab";2.0;"rmit-combined_v4_aws-eu_m4.large";"m4.large";"eu"
6867.7;580.48;18029.0;54.42;430.0;468.0;165.332564;302122.54;10096.43;7691778.27;443.52;1.451458156E7;57938.8;21131.81;199.59;120557.33;382079.16;71.57;409362.74;16.7351;29.5846;17.1;53.723;0.22;17.757;0.01;2.613;1459.41;8754.7;2354.68;76.6;0.27;355.05391377536705;2.8164736711863787;485.70607480580884;2.0588583340239506;740.8948984411903;1.349719106048584;2.0;6.5;"test";"i-059b6631eadaf4fab_3.0";"i-059b6631eadaf4fab";3.0;"rmit-combined_v4_aws-eu_m4.large";"m4.large";"eu"
5193.2;766.73;18029.0;53.98;580.0;579.0;139.333792;357419.53;11969.06;9127299.86;526.79;1.739269018E7;68747.45;26337.82;205.09;139160.29;454355.69;85.54;479566.21;14.1149;24.9393;15.39;59.935;0.47;8.3478;0.01;1.3936;1565.13;10453.02;1984.68;65.13;0.22;294.34812643918775;3.3973377445859154;411.43451431609327;2.430520447858511;1852.1872909698998;0.5399022036677236;2.0;8.0;"test";"i-05dc9065ae341a6d0_1.0";"i-05dc9065ae341a6d0";1.0;"rmit-combined_v4_aws-eu_c4.large";"c4.large";"eu"
5423.2;733.87;18025.0;54.01;580.0;579.0;139.401221;358081.69;11979.74;9126881.76;516.94;1.735425453E7;68659.45;24722.42;218.57;133425.97;456579.97;87.06;486682.89;14.1161;24.9575;15.51;59.568;0.36;10.706;0.01;1.9566;1699.63;10450.65;1984.79;65.55;0.22;295.9058010623835;3.3794538546041477;401.1632302405498;2.4927508919508132;1195.2599339151063;0.8366380999022304;2.0;8.0;"test";"i-05dc9065ae341a6d0_2.0";"i-05dc9065ae341a6d0";2.0;"rmit-combined_v4_aws-eu_c4.large";"c4.large";"eu"
5365.3;741.82;18028.0;54.16;579.0;579.0;139.38946;357415.51;11977.9;9127125.26;520.53;1.739669686E7;68739.12;25124.57;214.97;135416.31;454474.15;87.47;490992.56;14.1132;24.9398;15.4;59.93;0.39;9.9373;0.01;2.1547;1699.76;10448.53;1984.61;64.17;0.22;297.8879352452725;3.3569671063604116;404.2518915866742;2.473705184346908;723.7074546716143;1.3817738003731836;2.0;8.0;"test";"i-05dc9065ae341a6d0_3.0";"i-05dc9065ae341a6d0";3.0;"rmit-combined_v4_aws-eu_c4.large";"c4.large";"eu"
6363.4;626.11;17775.0;55.08;669.0;757.0;76.252933;355101.61;11174.7;8813165.86;460.99;1.442154191E7;61961.66;23886.32;212.94;128905.55;357401.07;81.08;303839.79;7.8744;27.2174;10.94;83.92;0.29;13.309;0.01;2.3174;1616.1;10242.67;2057.84;120.28;0.25;118.61789020708892;8.430431516309648;163.65268881275136;6.110501497132033;1339.5639745916515;0.7465115656793001;4.0;14.0;"test";"i-0734a62f641070132_1.0";"i-0734a62f641070132";1.0;"rmit-combined_v4_aws-eu_c3.xlarge";"c3.xlarge";"eu"
6280.5;634.51;17716.0;55.28;677.0;750.0;75.7542;354736.52;11149.26;8801343.62;464.75;1.440525401E7;61896.37;26649.64;217.04;134487.35;357426.2;81.35;456231.1;7.8742;27.2196;10.93;83.914;0.31;12.388;0.01;2.3434;1612.3;10227.09;2060.93;122.86;0.25;119.73062294597689;8.352082160728466;169.265420936307;5.907881210872306;1108.8133921411388;0.901865009105799;4.0;14.0;"test";"i-0734a62f641070132_2.0";"i-0734a62f641070132";2.0;"rmit-combined_v4_aws-eu_c3.xlarge";"c3.xlarge";"eu"
6428.9;619.77;17680.0;55.34;678.0;749.0;75.814162;354150.82;11140.93;8816167.15;463.16;1.44256855E7;61929.51;26670.97;222.56;135488.73;361962.0;98.18;484099.56;7.8709;27.2275;10.93;83.905;0.38;10.159;0.01;2.3571;1615.51;10247.17;2060.67;122.36;0.25;122.50044521119706;8.16323563784563;164.31696739238492;6.085798781887352;782.5616808754295;1.2778545441700244;4.0;14.0;"test";"i-0734a62f641070132_3.0";"i-0734a62f641070132";3.0;"rmit-combined_v4_aws-eu_c3.xlarge";"c3.xlarge";"eu"
5427.8;733.77;13871.0;70.66;287.0;316.0;491.679669;162942.79;5114.96;4045537.19;210.92;6624184.5;28451.13;11867.42;90.63;25906.89;167971.97;36.75;75108.14;59.6728;59.6341;25.73;35.876;0.36;10.99;0.01;1.8005;770.76;4698.93;4486.57;136.52;0.48;1352.387804170294;0.7394328734083134;1838.9052069425902;0.5438018209011573;2705.414010431759;0.36962919395852806;1.0;3.0;"test";"i-09cb4d2b81a6e7c7e_1.0";"i-09cb4d2b81a6e7c7e";1.0;"rmit-combined_v4_aws-eu_m3.medium";"m3.medium (hvm)";"eu"
5311.5;749.86;14330.0;68.36;287.0;316.0;489.069964;162425.92;5128.78;4036896.0;210.94;6628927.27;28415.03;11923.23;90.8;26242.43;169352.75;36.96;79868.53;59.3989;59.3843;25.73;35.872;0.4;9.7558;0.01;2.0344;759.14;4686.74;4475.95;131.38;0.48;1376.0683341712754;0.7267080966602147;1842.7668116426898;0.5426622585570522;1712.8216003274326;0.583831964641755;1.0;3.0;"test";"i-09cb4d2b81a6e7c7e_2.0";"i-09cb4d2b81a6e7c7e";2.0;"rmit-combined_v4_aws-eu_m3.medium";"m3.medium (hvm)";"eu"
5071.2;785.52;13866.0;70.68;287.0;316.0;489.483475;161862.77;5120.53;4047988.27;212.76;6619002.14;28424.21;11933.13;90.29;25986.62;169457.57;36.42;77215.17;59.4448;59.3647;25.73;35.872;0.34;11.626;0.01;2.2319;764.12;4635.68;4462.77;145.81;0.48;1370.4068627450981;0.729710297857728;1824.487414187643;0.5480991495056446;1409.9758160919541;0.7092320226964682;1.0;3.0;"test";"i-09cb4d2b81a6e7c7e_3.0";"i-09cb4d2b81a6e7c7e";3.0;"rmit-combined_v4_aws-eu_m3.medium";"m3.medium (hvm)";"eu"
5692.6;698.7;13177.0;70.44;288.0;315.0;418.74188;196374.85;5876.97;3834709.53;242.48;5646652.1;35272.03;15224.81;117.63;9591.71;108672.36;9.86;46041.43;48.0102;48.0121;25.73;35.842;0.34;11.368;0.02;1.1772;235.75;5558.24;3630.41;859.49;1.6;1130.1368354828562;0.8848486029328876;1406.2764303482586;0.7110977460899021;2888.972010747873;0.3461438865726942;1.0;2.0;"test";"i-0aa84ff1546f7a922_1.0";"i-0aa84ff1546f7a922";1.0;"rmit-combined_v4_aws-eu_m1.medium";"m1.medium";"eu"
5576.9;713.21;13495.0;68.73;288.0;315.0;419.431296;194504.22;5813.68;3830989.11;241.56;5640611.18;35187.1;15205.38;116.28;9790.99;119094.63;10.35;46056.98;48.0495;48.0881;25.73;35.843;0.27;14.315;0.02;1.2248;216.67;5537.4;3629.04;906.39;1.69;1146.4447545441535;0.8722618303553734;1419.8944253025886;0.704277714018698;2020.185379757447;0.49500407735851676;1.0;2.0;"test";"i-0aa84ff1546f7a922_2.0";"i-0aa84ff1546f7a922";2.0;"rmit-combined_v4_aws-eu_m1.medium";"m1.medium";"eu"
5527.2;719.75;13318.0;69.72;287.0;315.0;419.102368;193673.88;5823.74;3833928.46;241.65;5644948.08;35185.27;15200.92;115.42;10538.41;122426.94;10.5;46620.71;48.0757;48.0254;25.73;35.839;0.24;16.37;0.02;1.1686;215.78;5541.2;3634.34;854.74;1.71;1132.9882494514052;0.8826216869276462;1409.643783068783;0.7093990779876375;1269.2166416791604;0.7878875576962262;1.0;2.0;"test";"i-0aa84ff1546f7a922_3.0";"i-0aa84ff1546f7a922";3.0;"rmit-combined_v4_aws-eu_m1.medium";"m1.medium";"eu"
6309.2;631.47;17912.0;54.66;478.0;515.0;151.680784;355410.29;11157.71;8814167.31;465.81;1.442035821E7;61971.3;26731.24;211.95;78218.35;360017.98;56.48;308505.01;15.7864;27.2803;15.48;59.632;0.3;13.092;0.01;2.1308;1608.14;10235.56;2058.45;68.08;0.25;380.1197392108208;2.6307499896641335;529.5111288463244;1.8885344339764043;1870.8258948057617;0.534523283420676;2.0;7.0;"test";"i-0bfaeb737e16c86c8_1.0";"i-0bfaeb737e16c86c8";1.0;"rmit-combined_v4_aws-eu_c3.large";"c3.large";"eu"
6305.3;631.8;17964.0;54.5;478.0;515.0;151.898571;355040.32;11134.82;8815387.82;462.12;1.442364362E7;61979.84;26737.9;217.2;94476.45;354580.77;58.46;310484.46;15.7377;27.225;15.48;59.631;0.3;13.123;0.01;2.3233;1613.11;10237.78;2058.21;68.16;0.25;380.5212391381594;2.627974202609281;532.20842217484;1.8789631248478853;1154.0661262447536;0.8665014744466389;2.0;7.0;"test";"i-0bfaeb737e16c86c8_2.0";"i-0bfaeb737e16c86c8";2.0;"rmit-combined_v4_aws-eu_c3.large";"c3.large";"eu"
6270.1;635.31;18003.0;54.34;478.0;515.0;151.575895;356142.17;11186.07;8814577.39;464.86;1.44242554E7;61982.22;26689.77;213.77;83900.24;361703.53;58.27;306935.02;15.7936;27.3032;15.48;59.628;0.28;14.048;0.01;2.223;1615.77;10246.46;2058.13;68.98;0.25;382.7167448374699;2.6128984777623847;521.5093561057416;1.9175111401016538;751.6900443007663;1.330335565279723;2.0;7.0;"test";"i-0bfaeb737e16c86c8_3.0";"i-0bfaeb737e16c86c8";3.0;"rmit-combined_v4_aws-eu_c3.large";"c3.large";"eu"
6981.7;569.72;18029.0;54.03;869.0;868.0;69.714614;357845.73;11964.39;9127551.18;525.55;1.7558461E7;68745.3;24542.8;227.39;182746.91;462697.26;121.55;494333.27;7.0395;24.9347;10.21;89.846;0.25;15.685;0.01;2.4206;1734.12;10412.36;1984.33;114.25;0.22;65.95562394902886;15.161709345253248;95.22020411150847;10.501972867322792;1139.3146044624746;0.8777206893365482;4.0;16.0;"test";"i-0dbf8f56d83206af9_1.0";"i-0dbf8f56d83206af9";1.0;"rmit-combined_v4_aws-eu_c4.xlarge";"c4.xlarge";"eu"
6996.6;568.66;18029.0;54.05;869.0;869.0;69.722642;358632.92;11866.24;9127642.5;525.82;1.752459468E7;68735.06;24531.42;226.11;174467.81;469691.36;114.96;596627.71;7.0306;24.9366;10.23;89.706;0.25;15.731;0.01;2.6953;1733.4;10422.48;1984.39;113.19;0.22;66.69996692282248;14.992511183057779;96.1157151240778;10.40412588835321;1286.3592694632066;0.777387798058389;4.0;16.0;"test";"i-0dbf8f56d83206af9_2.0";"i-0dbf8f56d83206af9";2.0;"rmit-combined_v4_aws-eu_c4.xlarge";"c4.xlarge";"eu"
6945.2;572.72;18029.0;54.03;869.0;869.0;69.733995;357723.37;11976.36;9127291.61;526.21;1.754621804E7;68745.19;24038.68;216.65;184629.49;464013.84;109.69;569482.41;7.0447;24.9324;10.23;89.703;0.24;16.505;0.01;2.792;1735.2;10410.27;1984.34;114.1;0.22;65.81725058237299;15.193585133861811;96.24801325197626;10.38982485157393;861.2918707149853;1.16104660220451;4.0;16.0;"test";"i-0dbf8f56d83206af9_3.0";"i-0dbf8f56d83206af9";3.0;"rmit-combined_v4_aws-eu_c4.xlarge";"c4.xlarge";"eu"
5909.9;672.86;13736.0;66.91;670.0;718.0;209.698014;196957.55;5860.59;3846223.62;242.79;5660113.62;35078.43;15188.97;116.58;31405.95;104612.74;15.26;86627.64;23.9343;47.9259;10.92;83.902;0.26;15.012;0.02;1.3968;203.45;5551.69;3618.38;629.92;2.05;466.45397297495776;2.143834242899002;575.8208515849466;1.7366512470805817;2137.408919215304;0.4678561930803231;2.0;5.0;"test";"i-0f361179be0e623bf_1.0";"i-0f361179be0e623bf";1.0;"rmit-combined_v4_aws-eu_m1.large";"m1.large";"eu"
5818.6;683.46;13742.0;66.86;669.0;716.0;209.06393;197188.15;5885.77;3840879.21;243.2;5656201.7;35369.76;15289.79;119.81;31309.3;104562.99;15.24;85379.78;23.9222;47.8673;10.95;83.647;0.3;12.773;0.02;1.4841;203.32;5532.68;3614.0;635.27;2.03;469.0721275426058;2.1318683018725517;574.1085592545769;1.741830850420347;1577.1732953072335;0.6340457342103296;2.0;5.0;"test";"i-0f361179be0e623bf_2.0";"i-0f361179be0e623bf";2.0;"rmit-combined_v4_aws-eu_m1.large";"m1.large";"eu"
5819.9;683.36;13672.0;67.31;669.0;720.0;209.655625;195914.16;5872.47;3831971.19;242.78;5641512.03;35221.66;15205.14;113.97;30705.24;103457.42;15.05;87547.92;23.9958;48.0238;10.95;83.649;0.28;13.804;0.02;1.4049;201.46;5547.31;3633.04;639.76;2.06;472.33619319987287;2.117136087381815;589.2459364126031;1.697084253288389;879.3745507527926;1.137171867373175;2.0;5.0;"test";"i-0f361179be0e623bf_3.0";"i-0f361179be0e623bf";3.0;"rmit-combined_v4_aws-eu_m1.large";"m1.large";"eu"
